epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,72.85501098632812,6.128711700439453,71.5488052368164,69.00684356689453,5.945581436157227,67.87842559814453
1,0.0010000000474974513,68.80311584472656,5.951539516448975,67.71916198730469,68.02246856689453,5.842416286468506,66.9845962524414
2,0.0010000000474974513,67.93089294433594,5.900808811187744,66.91015625,67.13481140136719,5.81518030166626,66.13263702392578
3,0.0010000000474974513,67.34780883789062,5.872115135192871,66.3532943725586,67.02452087402344,5.787988185882568,66.03695678710938
4,0.0010000000474974513,66.84934997558594,5.843493461608887,65.86637878417969,66.84081268310547,5.819026470184326,65.87430572509766
5,0.0010000000474974513,66.53702545166016,5.823603630065918,65.57051849365234,66.68655395507812,5.797941207885742,65.7287826538086
6,0.0010000000474974513,66.31256866455078,5.813260078430176,65.34864807128906,66.23356628417969,5.770630836486816,65.27770233154297
7,0.0010000000474974513,65.88980865478516,5.790668964385986,64.92215728759766,66.20447540283203,5.751209735870361,65.23423767089844
8,0.0010000000474974513,65.74691772460938,5.780409336090088,64.76554107666016,66.21861267089844,5.764005184173584,65.24688720703125
9,0.0010000000474974513,65.57962799072266,5.767339706420898,64.59085083007812,66.2596206665039,5.782407283782959,65.26832580566406
10,0.0010000000474974513,65.3037109375,5.751096248626709,64.30803680419922,66.22645568847656,5.751163482666016,65.22919464111328
11,0.0010000000474974513,65.19711303710938,5.748983860015869,64.1827621459961,66.17910766601562,5.759731292724609,65.16411590576172
12,0.0010000000474974513,64.76549530029297,5.731822490692139,63.7375373840332,66.18742370605469,5.761261463165283,65.15538787841797
13,0.0010000000474974513,64.59249877929688,5.723629951477051,63.54509735107422,66.17884063720703,5.725607395172119,65.1261215209961
14,0.0010000000474974513,64.25398254394531,5.701308727264404,63.174678802490234,66.54940795898438,5.759700775146484,65.46782684326172
15,0.0010000000474974513,63.978782653808594,5.684196949005127,62.87725830078125,66.44438171386719,5.752910137176514,65.34075164794922
16,0.0010000000474974513,63.974769592285156,5.682702541351318,62.851295471191406,66.52508544921875,5.7444987297058105,65.39360046386719
17,0.0010000000474974513,63.67414474487305,5.6656646728515625,62.522560119628906,66.72269439697266,5.7482991218566895,65.55751037597656
18,0.0010000000474974513,63.49645233154297,5.656863212585449,62.314910888671875,67.14192962646484,5.753692150115967,65.94547271728516
19,0.0005000000237487257,62.488956451416016,5.593715667724609,61.297855377197266,66.49060821533203,5.7269206047058105,65.30277252197266
20,0.0005000000237487257,62.2209587097168,5.5857133865356445,61.02717208862305,66.67311096191406,5.729621887207031,65.47982788085938
21,0.0005000000237487257,62.11604309082031,5.5727858543396,60.91511154174805,66.89241027832031,5.732182502746582,65.69063568115234
22,0.0005000000237487257,61.93309020996094,5.566894054412842,60.72685623168945,66.93999481201172,5.757389068603516,65.73506164550781
23,0.0005000000237487257,61.80589294433594,5.5599565505981445,60.59245300292969,66.87127685546875,5.732943534851074,65.65308380126953
24,0.0002500000118743628,61.15492630004883,5.524765491485596,59.9347038269043,67.18409729003906,5.740553379058838,65.9623031616211
25,0.0002500000118743628,60.99479675292969,5.519883632659912,59.771514892578125,67.39268493652344,5.750711441040039,66.1683578491211
26,0.0002500000118743628,60.7806396484375,5.505479335784912,59.552127838134766,67.26667022705078,5.750050067901611,66.03935241699219
27,0.0002500000118743628,60.7099609375,5.503636837005615,59.47834396362305,67.38560485839844,5.760607719421387,66.1548843383789
28,0.0002500000118743628,60.69070053100586,5.50306510925293,59.45574188232422,67.43997192382812,5.7483415603637695,66.20268249511719
